CLASS	0	igObject	-
FIELD	igMemoryPool	2	_externalMemory	4	igObject
FIELD	igMemoryPool	3	_readOnly	4	igObject
FIELD	igMemoryPool	4	_memPoolIndex	4	igObject
FIELD	igMemoryPool	5	_active	8	igMemoryPool
FIELD	igMemoryPool	6	_poolIndex	12	igMemoryPool
FIELD	igMemoryPool	7	_address	16	igMemoryPool
FIELD	igMemoryPool	8	_size	20	igMemoryPool
FIELD	igMemoryPool	9	_alignment	24	igMemoryPool
FIELD	igMemoryPool	10	_lock	28	igMemoryPool
FIELD	igMemoryPool	11	_owner	32	igMemoryPool
FIELD	igMemoryPool	12	_alchemyMemory	36	igMemoryPool
FIELD	igMemoryPool	13	_reportOnFailure	37	igMemoryPool
FIELD	igMemoryPool	14	_useSentinels	38	igMemoryPool
FIELD	igMemoryPool	15	_fillMemory	39	igMemoryPool
FIELD	igMemoryPool	16	_checkIntegrity	40	igMemoryPool
FIELD	igMemoryPool	17	_blocksAllocated	44	igMemoryPool
FIELD	igMemoryPool	18	_peakBlocksAllocated	48	igMemoryPool
FIELD	igMemoryPool	19	_userAllocated	52	igMemoryPool
FIELD	igMemoryPool	20	_peakUserAllocated	56	igMemoryPool
FIELD	igMemoryPool	21	_totalAllocated	60	igMemoryPool
FIELD	igMemoryPool	22	_peakTotalAllocated	64	igMemoryPool
FIELD	igMemoryPool	23	_ordinal	68	igMemoryPool
CLASS	13	igEnumMetaField	igMetaField
FIELD	igEnumMetaField	0	_refAndProperties	4	igObject
FIELD	igEnumMetaField	1	_refCount	4	igObject
FIELD	igEnumMetaField	2	_externalMemory	4	igObject
FIELD	igEnumMetaField	3	_readOnly	4	igObject
FIELD	igEnumMetaField	4	_memPoolIndex	4	igObject
FIELD	igEnumMetaField	5	_properties	8	igMetaField
FIELD	igEnumMetaField	6	_fieldName	12	igMetaField
FIELD	igEnumMetaField	7	_default	16	igMetaField
FIELD	igEnumMetaField	8	_offset	24	igMetaField
FIELD	igEnumMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igEnumMetaField	10	_typeIndex	28	igMetaField
FIELD	igEnumMetaField	11	_internalIndex	30	igMetaField
FIELD	igEnumMetaField	12	_size	32	igMetaField
FIELD	igEnumMetaField	13	_getMetaEnumFunction	36	igEnumMetaField
CLASS	14	igBidirectionalMemoryPool	igMemoryPool
FIELD	igBidirectionalMemoryPool	0	_refAndProperties	4	igObject
FIELD	igBidirectionalMemoryPool	1	_refCount	4	igObject
FIELD	igBidirectionalMemoryPool	2	_externalMemory	4	igObject
FIELD	igBidirectionalMemoryPool	3	_readOnly	4	igObject
FIELD	igBidirectionalMemoryPool	4	_memPoolIndex	4	igObject
FIELD	igBidirectionalMemoryPool	5	_active	8	igMemoryPool
FIELD	igBidirectionalMemoryPool	6	_poolIndex	12	igMemoryPool
FIELD	igBidirectionalMemoryPool	7	_address	16	igMemoryPool
FIELD	igBidirectionalMemoryPool	8	_size	20	igMemoryPool
FIELD	igBidirectionalMemoryPool	9	_alignment	24	igMemoryPool
FIELD	igBidirectionalMemoryPool	10	_lock	28	igMemoryPool
FIELD	igBidirectionalMemoryPool	11	_owner	32	igMemoryPool
FIELD	igBidirectionalMemoryPool	12	_alchemyMemory	36	igMemoryPool
FIELD	igBidirectionalMemoryPool	13	_reportOnFailure	37	igMemoryPool
FIELD	igBidirectionalMemoryPool	14	_useSentinels	38	igMemoryPool
FIELD	igBidirectionalMemoryPool	15	_fillMemory	39	igMemoryPool
FIELD	igBidirectionalMemoryPool	16	_checkIntegrity	40	igMemoryPool
FIELD	igBidirectionalMemoryPool	17	_blocksAllocated	44	igMemoryPool
FIELD	igBidirectionalMemoryPool	18	_peakBlocksAllocated	48	igMemoryPool
FIELD	igBidirectionalMemoryPool	19	_userAllocated	52	igMemoryPool
FIELD	igBidirectionalMemoryPool	20	_peakUserAllocated	56	igMemoryPool
FIELD	igBidirectionalMemoryPool	21	_totalAllocated	60	igMemoryPool
FIELD	igBidirectionalMemoryPool	22	_peakTotalAllocated	64	igMemoryPool
FIELD	igBidirectionalMemoryPool	23	_ordinal	68	igMemoryPool
FIELD	igBidirectionalMemoryPool	24	_aliasedPool	72	igBidirectionalMemoryPool
FIELD	igBidirectionalMemoryPool	25	_direction	76	igBidirectionalMemoryPool
CLASS	15	igBidirectionalHeapMemoryPool	igBidirectionalMemoryPool
FIELD	igBidirectionalHeapMemoryPool	0	_refAndProperties	4	igObject
FIELD	igBidirectionalHeapMemoryPool	1	_refCount	4	igObject
FIELD	igBidirectionalHeapMemoryPool	2	_externalMemory	4	igObject
FIELD	igBidirectionalHeapMemoryPool	3	_readOnly	4	igObject
FIELD	igBidirectionalHeapMemoryPool	4	_memPoolIndex	4	igObject
FIELD	igBidirectionalHeapMemoryPool	5	_active	8	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	6	_poolIndex	12	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	7	_address	16	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	8	_size	20	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	9	_alignment	24	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	10	_lock	28	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	11	_owner	32	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	12	_alchemyMemory	36	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	13	_reportOnFailure	37	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	14	_useSentinels	38	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	15	_fillMemory	39	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	16	_checkIntegrity	40	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	17	_blocksAllocated	44	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	18	_peakBlocksAllocated	48	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	19	_userAllocated	52	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	20	_peakUserAllocated	56	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	21	_totalAllocated	60	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	22	_peakTotalAllocated	64	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	23	_ordinal	68	igMemoryPool
FIELD	igBidirectionalHeapMemoryPool	24	_aliasedPool	72	igBidirectionalMemoryPool
FIELD	igBidirectionalHeapMemoryPool	25	_direction	76	igBidirectionalMemoryPool
FIELD	igBidirectionalHeapMemoryPool	26	_heap	80	igBidirectionalHeapMemoryPool
FIELD	igBidirectionalHeapMemoryPool	27	_initialOverhead	84	igBidirectionalHeapMemoryPool
CLASS	16	igStringMetaField	igRefMetaField
FIELD	igStringMetaField	0	_refAndProperties	4	igObject
FIELD	igStringMetaField	1	_refCount	4	igObject
FIELD	igStringMetaField	2	_externalMemory	4	igObject
FIELD	igStringMetaField	3	_readOnly	4	igObject
FIELD	igStringMetaField	4	_memPoolIndex	4	igObject
FIELD	igStringMetaField	5	_properties	8	igMetaField
FIELD	igStringMetaField	6	_fieldName	12	igMetaField
FIELD	igStringMetaField	7	_default	16	igMetaField
FIELD	igStringMetaField	8	_offset	24	igMetaField
FIELD	igStringMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igStringMetaField	10	_typeIndex	28	igMetaField
FIELD	igStringMetaField	11	_internalIndex	30	igMetaField
FIELD	igStringMetaField	12	_size	32	igMetaField
FIELD	igStringMetaField	13	_construct	36	igRefMetaField
FIELD	igStringMetaField	14	_destruct	37	igStringMetaField
FIELD	igStringMetaField	15	_refCounted	38	igRefMetaField
CLASS	17	igNamedObject	igObject
FIELD	igNamedObject	0	_refAndProperties	4	igObject
FIELD	igNamedObject	1	_refCount	4	igObject
FIELD	igNamedObject	2	_externalMemory	4	igObject
FIELD	igNamedObject	3	_readOnly	4	igObject
FIELD	igNamedObject	4	_memPoolIndex	4	igObject
FIELD	igNamedObject	5	_name	8	igNamedObject
CLASS	18	igMemoryRefMetaField	igRefMetaField
FIELD	igMemoryRefMetaField	0	_refAndProperties	4	igObject
FIELD	igMemoryRefMetaField	1	_refCount	4	igObject
FIELD	igMemoryRefMetaField	2	_externalMemory	4	igObject
FIELD	igMemoryRefMetaField	3	_readOnly	4	igObject
FIELD	igMemoryRefMetaField	4	_memPoolIndex	4	igObject
FIELD	igMemoryRefMetaField	5	_properties	8	igMetaField
FIELD	igMemoryRefMetaField	6	_fieldName	12	igMetaField
FIELD	igMemoryRefMetaField	7	_default	16	igMetaField
FIELD	igMemoryRefMetaField	8	_offset	24	igMetaField
FIELD	igMemoryRefMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igMemoryRefMetaField	10	_typeIndex	28	igMetaField
FIELD	igMemoryRefMetaField	11	_internalIndex	30	igMetaField
FIELD	igMemoryRefMetaField	12	_size	32	igMetaField
FIELD	igMemoryRefMetaField	13	_construct	36	igRefMetaField
FIELD	igMemoryRefMetaField	14	_destruct	37	igRefMetaField
FIELD	igMemoryRefMetaField	15	_refCounted	38	igRefMetaField
FIELD	igMemoryRefMetaField	16	_memSize	40	igMemoryRefMetaField
FIELD	igMemoryRefMetaField	17	_memType	44	igMemoryRefMetaField
FIELD	igMemoryRefMetaField	18	_memTypeAlignment	48	igMemoryRefMetaField
FIELD	igMemoryRefMetaField	19	_memTypeRef	52	igMemoryRefMetaField
FIELD	igMemoryRefMetaField	20	_releaseOnCopy	56	igMemoryRefMetaField
FIELD	igMemoryRefMetaField	21	_releaseOnReset	57	igMemoryRefMetaField
CLASS	19	igUnsignedCharMetaField	igMetaField
FIELD	igUnsignedCharMetaField	0	_refAndProperties	4	igObject
FIELD	igUnsignedCharMetaField	1	_refCount	4	igObject
FIELD	igUnsignedCharMetaField	2	_externalMemory	4	igObject
FIELD	igUnsignedCharMetaField	3	_readOnly	4	igObject
FIELD	igUnsignedCharMetaField	4	_memPoolIndex	4	igObject
FIELD	igUnsignedCharMetaField	5	_properties	8	igMetaField
FIELD	igUnsignedCharMetaField	6	_fieldName	12	igMetaField
FIELD	igUnsignedCharMetaField	7	_default	16	igMetaField
FIELD	igUnsignedCharMetaField	8	_offset	24	igMetaField
FIELD	igUnsignedCharMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igUnsignedCharMetaField	10	_typeIndex	28	igMetaField
FIELD	igUnsignedCharMetaField	11	_internalIndex	30	igMetaField
FIELD	igUnsignedCharMetaField	12	_size	32	igMetaField
CLASS	20	igDataList	igObject
FIELD	igDataList	0	_refAndProperties	4	igObject
FIELD	igDataList	1	_refCount	4	igObject
FIELD	igDataList	2	_externalMemory	4	igObject
FIELD	igDataList	3	_readOnly	4	igObject
FIELD	igDataList	4	_memPoolIndex	4	igObject
FIELD	igDataList	5	_count	8	igDataList
FIELD	igDataList	6	_capacity	12	igDataList
FIELD	igDataList	7	_data	16	igDataList
CLASS	21	igUnsignedShortMetaField	igMetaField
FIELD	igUnsignedShortMetaField	0	_refAndProperties	4	igObject
FIELD	igUnsignedShortMetaField	1	_refCount	4	igObject
FIELD	igUnsignedShortMetaField	2	_externalMemory	4	igObject
FIELD	igUnsignedShortMetaField	3	_readOnly	4	igObject
FIELD	igUnsignedShortMetaField	4	_memPoolIndex	4	igObject
FIELD	igUnsignedShortMetaField	5	_properties	8	igMetaField
FIELD	igUnsignedShortMetaField	6	_fieldName	12	igMetaField
FIELD	igUnsignedShortMetaField	7	_default	16	igMetaField
FIELD	igUnsignedShortMetaField	8	_offset	24	igMetaField
FIELD	igUnsignedShortMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igUnsignedShortMetaField	10	_typeIndex	28	igMetaField
FIELD	igUnsignedShortMetaField	11	_internalIndex	30	igMetaField
FIELD	igUnsignedShortMetaField	12	_size	32	igMetaField
CLASS	22	igStructMetaField	igMetaField
FIELD	igStructMetaField	0	_refAndProperties	4	igObject
FIELD	igStructMetaField	1	_refCount	4	igObject
FIELD	igStructMetaField	2	_externalMemory	4	igObject
FIELD	igStructMetaField	3	_readOnly	4	igObject
FIELD	igStructMetaField	4	_memPoolIndex	4	igObject
FIELD	igStructMetaField	5	_properties	8	igMetaField
FIELD	igStructMetaField	6	_fieldName	12	igMetaField
FIELD	igStructMetaField	7	_default	16	igMetaField
FIELD	igStructMetaField	8	_offset	24	igMetaField
FIELD	igStructMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igStructMetaField	10	_typeIndex	28	igMetaField
FIELD	igStructMetaField	11	_internalIndex	30	igMetaField
FIELD	igStructMetaField	12	_size	32	igStructMetaField
FIELD	igStructMetaField	13	_cppConstructor	36	igStructMetaField
FIELD	igStructMetaField	14	_cppDestructor	40	igStructMetaField
CLASS	23	igMetaFunctionPairList	igDataList
FIELD	igMetaFunctionPairList	0	_refAndProperties	4	igObject
FIELD	igMetaFunctionPairList	1	_refCount	4	igObject
FIELD	igMetaFunctionPairList	2	_externalMemory	4	igObject
FIELD	igMetaFunctionPairList	3	_readOnly	4	igObject
